STATISTIC,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1998 May,Secondhand Private Cars,3179
Vehicles Licensed for the First Time,1998 May,Secondhand Goods Vehicles,388
Vehicles Licensed for the First Time,1998 May,Secondhand Tractors,302
Vehicles Licensed for the First Time,1998 May,Secondhand Other Vehicles,189
Vehicles Licensed for the First Time,1998 May,Secondhand Motor Cycles,233
Vehicles Licensed for the First Time,1998 June,All Vehicles,20870
Vehicles Licensed for the First Time,1998 June,New Vehicles,16440
Vehicles Licensed for the First Time,1998 June,New Private Cars,13381
Vehicles Licensed for the First Time,1998 June,New Goods Vehicles,2082
Vehicles Licensed for the First Time,1998 June,New Tractors,242
Vehicles Licensed for the First Time,1998 June,New Motor Cycles,285
Vehicles Licensed for the First Time,1998 June,New Exempt Vehicles,212
Vehicles Licensed for the First Time,1998 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",238
Vehicles Licensed for the First Time,1998 June,Secondhand Vehicles,4430
Vehicles Licensed for the First Time,1998 June,Secondhand Private Cars,3268
Vehicles Licensed for the First Time,1998 June,Secondhand Goods Vehicles,376
Vehicles Licensed for the First Time,1998 June,Secondhand Tractors,354
Vehicles Licensed for the First Time,1998 June,Secondhand Other Vehicles,194
Vehicles Licensed for the First Time,1998 June,Secondhand Motor Cycles,238
Vehicles Licensed for the First Time,1998 July,All Vehicles,20838
Vehicles Licensed for the First Time,1998 July,New Vehicles,16702
Vehicles Licensed for the First Time,1998 July,New Private Cars,13779
Vehicles Licensed for the First Time,1998 July,New Goods Vehicles,2011
Vehicles Licensed for the First Time,1998 July,New Tractors,209
Vehicles Licensed for the First Time,1998 July,New Motor Cycles,283
Vehicles Licensed for the First Time,1998 July,New Exempt Vehicles,264
Vehicles Licensed for the First Time,1998 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",156
Vehicles Licensed for the First Time,1998 July,Secondhand Vehicles,4136
Vehicles Licensed for the First Time,1998 July,Secondhand Private Cars,3107
Vehicles Licensed for the First Time,1998 July,Secondhand Goods Vehicles,354
Vehicles Licensed for the First Time,1998 July,Secondhand Tractors,278
Vehicles Licensed for the First Time,1998 July,Secondhand Other Vehicles,153
Vehicles Licensed for the First Time,1998 July,Secondhand Motor Cycles,244
Vehicles Licensed for the First Time,1998 August,All Vehicles,16136
Vehicles Licensed for the First Time,1998 August,New Vehicles,11754
Vehicles Licensed for the First Time,1998 August,New Private Cars,9127
Vehicles Licensed for the First Time,1998 August,New Goods Vehicles,1812
Vehicles Licensed for the First Time,1998 August,New Tractors,164
Vehicles Licensed for the First Time,1998 August,New Motor Cycles,247
Vehicles Licensed for the First Time,1998 August,New Exempt Vehicles,211
Vehicles Licensed for the First Time,1998 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",193
Vehicles Licensed for the First Time,1998 August,Secondhand Vehicles,4382
Vehicles Licensed for the First Time,1998 August,Secondhand Private Cars,3371
Vehicles Licensed for the First Time,1998 August,Secondhand Goods Vehicles,370
Vehicles Licensed for the First Time,1998 August,Secondhand Tractors,231
Vehicles Licensed for the First Time,1998 August,Secondhand Other Vehicles,182
Vehicles Licensed for the First Time,1998 August,Secondhand Motor Cycles,228
Vehicles Licensed for the First Time,1998 September,All Vehicles,13502
Vehicles Licensed for the First Time,1998 September,New Vehicles,9168
Vehicles Licensed for the First Time,1998 September,New Private Cars,6676
Vehicles Licensed for the First Time,1998 September,New Goods Vehicles,1690
Vehicles Licensed for the First Time,1998 September,New Tractors,160
Vehicles Licensed for the First Time,1998 September,New Motor Cycles,243
Vehicles Licensed for the First Time,1998 September,New Exempt Vehicles,219
