Statistic,Quarter,Sector,value
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Imports of Goods and Services (excluding Factor Income Flows),-17099
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross Domestic Product at Market Prices,31208
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Net Factor Income from the Rest of the World,-2416
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Gross National Product at Market Prices,28793
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Export of Goods (excluding Factor Income Flows),11854
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Import of Goods (excluding Factor Income Flows),-10300
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Export of Services (excluding Factor Income Flows),5373
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Import of Services (excluding Factor Income Flows),-6799
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Final Domestic Demand,26218
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q1,Total Domestic Demand,26932
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Personal Expenditure on Consumer Goods and Services,14164
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Household & NPISH Final Consumption Expenditure,13765
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5229
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,General Government Expenditure on Goods & Services provided to Households,3543
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,General Government Collective Consumption Expenditure,2084
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,General Government Final Consumption Expenditure,5627
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross Domestic Fixed Capital Formation,7556
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross domestic fixed capital formation - Machinery and Equipment,1574
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross domestic fixed capital formation - Intangible Assets,766
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5216
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Value of Physical Changes in Stocks,643
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Exports of Goods and Services (excluding Factor Income Flows),18017
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Imports of Goods and Services (excluding Factor Income Flows),-17429
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross Domestic Product at Market Prices,31835
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Net Factor Income from the Rest of the World,-2854
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Gross National Product at Market Prices,28981
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Export of Goods (excluding Factor Income Flows),12162
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Import of Goods (excluding Factor Income Flows),-10511
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Export of Services (excluding Factor Income Flows),5855
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Import of Services (excluding Factor Income Flows),-6919
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Final Domestic Demand,26948
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q2,Total Domestic Demand,27591
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Personal Expenditure on Consumer Goods and Services,14394
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Household & NPISH Final Consumption Expenditure,13978
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5400
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,General Government Expenditure on Goods & Services provided to Households,3672
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,General Government Collective Consumption Expenditure,2145
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,General Government Final Consumption Expenditure,5817
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Fixed Capital Formation,7809
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross domestic fixed capital formation - Machinery and Equipment,1437
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross domestic fixed capital formation - Intangible Assets,746
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5625
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Value of Physical Changes in Stocks,316
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Exports of Goods and Services (excluding Factor Income Flows),19389
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Imports of Goods and Services (excluding Factor Income Flows),-18486
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross Domestic Product at Market Prices,33002
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Net Factor Income from the Rest of the World,-3114
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Gross National Product at Market Prices,29887
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Export of Goods (excluding Factor Income Flows),12374
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Import of Goods (excluding Factor Income Flows),-10245
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Export of Services (excluding Factor Income Flows),7015
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Import of Services (excluding Factor Income Flows),-8242
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Final Domestic Demand,27603
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q3,Total Domestic Demand,27919
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Personal Expenditure on Consumer Goods and Services,14572
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Household & NPISH Final Consumption Expenditure,14141
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5507
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,General Government Expenditure on Goods & Services provided to Households,3758
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,General Government Collective Consumption Expenditure,2180
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,General Government Final Consumption Expenditure,5938
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Fixed Capital Formation,8417
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross domestic fixed capital formation - Machinery and Equipment,1750
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross domestic fixed capital formation - Intangible Assets,814
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5853
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Value of Physical Changes in Stocks,-189
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Exports of Goods and Services (excluding Factor Income Flows),19115
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Imports of Goods and Services (excluding Factor Income Flows),-19497
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross Domestic Product at Market Prices,32189
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Net Factor Income from the Rest of the World,-2708
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Gross National Product at Market Prices,29481
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Export of Goods (excluding Factor Income Flows),13022
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Import of Goods (excluding Factor Income Flows),-10993
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Export of Services (excluding Factor Income Flows),6093
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Import of Services (excluding Factor Income Flows),-8504
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Final Domestic Demand,28496
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1998Q4,Total Domestic Demand,28307
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Personal Expenditure on Consumer Goods and Services,15126
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Household & NPISH Final Consumption Expenditure,14717
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5521
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,General Government Expenditure on Goods & Services provided to Households,3812
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,General Government Collective Consumption Expenditure,2118
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,General Government Final Consumption Expenditure,5931
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Fixed Capital Formation,8407
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross domestic fixed capital formation - Machinery and Equipment,1480
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross domestic fixed capital formation - Intangible Assets,895
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6032
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Value of Physical Changes in Stocks,396
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Exports of Goods and Services (excluding Factor Income Flows),19749
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Imports of Goods and Services (excluding Factor Income Flows),-18766
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross Domestic Product at Market Prices,34216
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Net Factor Income from the Rest of the World,-2885
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Gross National Product at Market Prices,31330
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Export of Goods (excluding Factor Income Flows),13143
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Import of Goods (excluding Factor Income Flows),-10359
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Export of Services (excluding Factor Income Flows),6605
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Import of Services (excluding Factor Income Flows),-8407
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Final Domestic Demand,29054
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q1,Total Domestic Demand,29451
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Personal Expenditure on Consumer Goods and Services,15127
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Household & NPISH Final Consumption Expenditure,14710
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,5563
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,General Government Expenditure on Goods & Services provided to Households,3857
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,General Government Collective Consumption Expenditure,2123
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,General Government Final Consumption Expenditure,5980
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Fixed Capital Formation,8688
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross domestic fixed capital formation - Machinery and Equipment,1861
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross domestic fixed capital formation - Intangible Assets,906
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",5921
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Value of Physical Changes in Stocks,208
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Exports of Goods and Services (excluding Factor Income Flows),21005
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Imports of Goods and Services (excluding Factor Income Flows),-20302
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross Domestic Product at Market Prices,34477
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Net Factor Income from the Rest of the World,-3342
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Gross National Product at Market Prices,31135
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Export of Goods (excluding Factor Income Flows),13700
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Import of Goods (excluding Factor Income Flows),-11193
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Export of Services (excluding Factor Income Flows),7306
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Import of Services (excluding Factor Income Flows),-9109
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Final Domestic Demand,29378
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q2,Total Domestic Demand,29586
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Personal Expenditure on Consumer Goods and Services,16041
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Household & NPISH Final Consumption Expenditure,15585
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,5710
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,General Government Expenditure on Goods & Services provided to Households,3985
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,General Government Collective Consumption Expenditure,2181
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,General Government Final Consumption Expenditure,6166
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Fixed Capital Formation,9416
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross domestic fixed capital formation - Machinery and Equipment,2283
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross domestic fixed capital formation - Intangible Assets,965
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6167
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Value of Physical Changes in Stocks,-248
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Exports of Goods and Services (excluding Factor Income Flows),22259
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Imports of Goods and Services (excluding Factor Income Flows),-21275
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross Domestic Product at Market Prices,35828
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Net Factor Income from the Rest of the World,-4081
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Gross National Product at Market Prices,31747
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Export of Goods (excluding Factor Income Flows),14407
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Import of Goods (excluding Factor Income Flows),-11617
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Export of Services (excluding Factor Income Flows),7852
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Import of Services (excluding Factor Income Flows),-9658
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Final Domestic Demand,31167
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q3,Total Domestic Demand,30919
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Personal Expenditure on Consumer Goods and Services,16031
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Household & NPISH Final Consumption Expenditure,15568
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,5736
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,General Government Expenditure on Goods & Services provided to Households,4012
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,General Government Collective Consumption Expenditure,2187
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,General Government Final Consumption Expenditure,6199
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Fixed Capital Formation,9150
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross domestic fixed capital formation - Machinery and Equipment,2035
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross domestic fixed capital formation - Intangible Assets,925
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6190
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Value of Physical Changes in Stocks,213
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Exports of Goods and Services (excluding Factor Income Flows),23414
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Imports of Goods and Services (excluding Factor Income Flows),-22142
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross Domestic Product at Market Prices,36643
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Net Factor Income from the Rest of the World,-3984
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Gross National Product at Market Prices,32659
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Export of Goods (excluding Factor Income Flows),14991
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Import of Goods (excluding Factor Income Flows),-12436
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Export of Services (excluding Factor Income Flows),8423
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Import of Services (excluding Factor Income Flows),-9706
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Final Domestic Demand,30917
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),1999Q4,Total Domestic Demand,31130
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Personal Expenditure on Consumer Goods and Services,16817
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Household & NPISH Final Consumption Expenditure,16331
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,5790
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,General Government Expenditure on Goods & Services provided to Households,3993
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,General Government Collective Consumption Expenditure,2283
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,General Government Final Consumption Expenditure,6276
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Fixed Capital Formation,9355
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross domestic fixed capital formation - Dwellings,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross domestic fixed capital formation - Improvements,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross domestic fixed capital formation - Other Building and Construction,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross domestic fixed capital formation - Transfer Costs,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross domestic fixed capital formation - Machinery and Equipment,2097
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross domestic fixed capital formation - Intangible Assets,868
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",6390
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Value of Physical Changes in Stocks,188
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Exports of Goods and Services (excluding Factor Income Flows),24281
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Imports of Goods and Services (excluding Factor Income Flows),-23146
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross Domestic Product at Market Prices,37040
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Net Factor Income from the Rest of the World,-3730
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Gross National Product at Market Prices,33309
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Statistical Discrepancy,NA
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Export of Goods (excluding Factor Income Flows),15198
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Import of Goods (excluding Factor Income Flows),-11639
	Expenditure on GNP at Constant Market Prices (Seasonally Adjusted),2000Q1,Export of Services (excluding Factor Income Flows),9083
