Statistic,Quarter,Sector,value
Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Improvements,223
Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Other Building and Construction,758
Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Transfer Costs,107
Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Machinery and Equipment,1151
Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,27
Expenditure on GNP at Current Market Prices,1996Q2,Gross domestic fixed capital formation - Intangible Assets,262
Expenditure on GNP at Current Market Prices,1996Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1996Q2,Value of Physical Changes in Stocks,249
Expenditure on GNP at Current Market Prices,1996Q2,Exports of Goods and Services (excluding Factor Income Flows),11234
Expenditure on GNP at Current Market Prices,1996Q2,Imports of Goods and Services (excluding Factor Income Flows),-9433
Expenditure on GNP at Current Market Prices,1996Q2,Gross Domestic Product at Market Prices,15268
Expenditure on GNP at Current Market Prices,1996Q2,Net Factor Income from the Rest of the World,-1573
Expenditure on GNP at Current Market Prices,1996Q2,Gross National Product at Market Prices,13695
Expenditure on GNP at Current Market Prices,1996Q2,Statistical Discrepancy,50
Expenditure on GNP at Current Market Prices,1996Q2,Export of Goods (excluding Factor Income Flows),9736
Expenditure on GNP at Current Market Prices,1996Q2,Import of Goods (excluding Factor Income Flows),-6888
Expenditure on GNP at Current Market Prices,1996Q2,Export of Services (excluding Factor Income Flows),1497
Expenditure on GNP at Current Market Prices,1996Q2,Import of Services (excluding Factor Income Flows),-2545
Expenditure on GNP at Current Market Prices,1996Q2,Final Domestic Demand,13169
Expenditure on GNP at Current Market Prices,1996Q2,Total Domestic Demand,13418
Expenditure on GNP at Current Market Prices,1996Q3,Personal Expenditure on Consumer Goods and Services,7944
Expenditure on GNP at Current Market Prices,1996Q3,Household & NPISH Final Consumption Expenditure,7846
Expenditure on GNP at Current Market Prices,1996Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,2377
Expenditure on GNP at Current Market Prices,1996Q3,General Government Expenditure on Goods & Services provided to Households,1529
Expenditure on GNP at Current Market Prices,1996Q3,General Government Collective Consumption Expenditure,946
Expenditure on GNP at Current Market Prices,1996Q3,General Government Final Consumption Expenditure,2475
Expenditure on GNP at Current Market Prices,1996Q3,Gross Domestic Fixed Capital Formation,2981
Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Dwellings,656
Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Improvements,251
Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Other Building and Construction,680
Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Transfer Costs,130
Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Machinery and Equipment,970
Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,67
Expenditure on GNP at Current Market Prices,1996Q3,Gross domestic fixed capital formation - Intangible Assets,293
Expenditure on GNP at Current Market Prices,1996Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1996Q3,Value of Physical Changes in Stocks,-235
Expenditure on GNP at Current Market Prices,1996Q3,Exports of Goods and Services (excluding Factor Income Flows),11164
Expenditure on GNP at Current Market Prices,1996Q3,Imports of Goods and Services (excluding Factor Income Flows),-9330
Expenditure on GNP at Current Market Prices,1996Q3,Gross Domestic Product at Market Prices,14752
Expenditure on GNP at Current Market Prices,1996Q3,Net Factor Income from the Rest of the World,-1537
Expenditure on GNP at Current Market Prices,1996Q3,Gross National Product at Market Prices,13215
Expenditure on GNP at Current Market Prices,1996Q3,Statistical Discrepancy,-148
Expenditure on GNP at Current Market Prices,1996Q3,Export of Goods (excluding Factor Income Flows),9676
Expenditure on GNP at Current Market Prices,1996Q3,Import of Goods (excluding Factor Income Flows),-6812
Expenditure on GNP at Current Market Prices,1996Q3,Export of Services (excluding Factor Income Flows),1488
Expenditure on GNP at Current Market Prices,1996Q3,Import of Services (excluding Factor Income Flows),-2517
Expenditure on GNP at Current Market Prices,1996Q3,Final Domestic Demand,13301
Expenditure on GNP at Current Market Prices,1996Q3,Total Domestic Demand,13066
Expenditure on GNP at Current Market Prices,1996Q4,Personal Expenditure on Consumer Goods and Services,9034
Expenditure on GNP at Current Market Prices,1996Q4,Household & NPISH Final Consumption Expenditure,8741
Expenditure on GNP at Current Market Prices,1996Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,2388
Expenditure on GNP at Current Market Prices,1996Q4,General Government Expenditure on Goods & Services provided to Households,1657
Expenditure on GNP at Current Market Prices,1996Q4,General Government Collective Consumption Expenditure,1024
Expenditure on GNP at Current Market Prices,1996Q4,General Government Final Consumption Expenditure,2681
Expenditure on GNP at Current Market Prices,1996Q4,Gross Domestic Fixed Capital Formation,2943
Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Dwellings,674
Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Improvements,229
Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Other Building and Construction,733
Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Transfer Costs,126
Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Machinery and Equipment,882
Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2
Expenditure on GNP at Current Market Prices,1996Q4,Gross domestic fixed capital formation - Intangible Assets,299
Expenditure on GNP at Current Market Prices,1996Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1996Q4,Value of Physical Changes in Stocks,144
Expenditure on GNP at Current Market Prices,1996Q4,Exports of Goods and Services (excluding Factor Income Flows),11633
Expenditure on GNP at Current Market Prices,1996Q4,Imports of Goods and Services (excluding Factor Income Flows),-10212
Expenditure on GNP at Current Market Prices,1996Q4,Gross Domestic Product at Market Prices,15516
Expenditure on GNP at Current Market Prices,1996Q4,Net Factor Income from the Rest of the World,-1645
Expenditure on GNP at Current Market Prices,1996Q4,Gross National Product at Market Prices,13870
Expenditure on GNP at Current Market Prices,1996Q4,Statistical Discrepancy,-415
Expenditure on GNP at Current Market Prices,1996Q4,Export of Goods (excluding Factor Income Flows),10083
Expenditure on GNP at Current Market Prices,1996Q4,Import of Goods (excluding Factor Income Flows),-7456
Expenditure on GNP at Current Market Prices,1996Q4,Export of Services (excluding Factor Income Flows),1551
Expenditure on GNP at Current Market Prices,1996Q4,Import of Services (excluding Factor Income Flows),-2755
Expenditure on GNP at Current Market Prices,1996Q4,Final Domestic Demand,14366
Expenditure on GNP at Current Market Prices,1996Q4,Total Domestic Demand,14510
Expenditure on GNP at Current Market Prices,1997Q1,Personal Expenditure on Consumer Goods and Services,8175
Expenditure on GNP at Current Market Prices,1997Q1,Household & NPISH Final Consumption Expenditure,8022
Expenditure on GNP at Current Market Prices,1997Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,2449
Expenditure on GNP at Current Market Prices,1997Q1,General Government Expenditure on Goods & Services provided to Households,1618
Expenditure on GNP at Current Market Prices,1997Q1,General Government Collective Consumption Expenditure,985
Expenditure on GNP at Current Market Prices,1997Q1,General Government Final Consumption Expenditure,2602
Expenditure on GNP at Current Market Prices,1997Q1,Gross Domestic Fixed Capital Formation,3392
Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Dwellings,662
Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Improvements,273
Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Other Building and Construction,799
Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Transfer Costs,124
Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Machinery and Equipment,1211
Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,36
Expenditure on GNP at Current Market Prices,1997Q1,Gross domestic fixed capital formation - Intangible Assets,321
Expenditure on GNP at Current Market Prices,1997Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",NA
Expenditure on GNP at Current Market Prices,1997Q1,Value of Physical Changes in Stocks,344
Expenditure on GNP at Current Market Prices,1997Q1,Exports of Goods and Services (excluding Factor Income Flows),11737
Expenditure on GNP at Current Market Prices,1997Q1,Imports of Goods and Services (excluding Factor Income Flows),-10403
Expenditure on GNP at Current Market Prices,1997Q1,Gross Domestic Product at Market Prices,16112
Expenditure on GNP at Current Market Prices,1997Q1,Net Factor Income from the Rest of the World,-2222
Expenditure on GNP at Current Market Prices,1997Q1,Gross National Product at Market Prices,13891
Expenditure on GNP at Current Market Prices,1997Q1,Statistical Discrepancy,418
