Statistic,Quarter,Ireland,value
Derived Saving (B.6g+D.8-P.31),2004Q3,Ireland,2672.02
Derived Saving (B.6g+D.8-P.31),2004Q4,Ireland,-70.16
Derived Saving (B.6g+D.8-P.31),2005Q1,Ireland,2553.8
Derived Saving (B.6g+D.8-P.31),2005Q2,Ireland,3597.55
Derived Saving (B.6g+D.8-P.31),2005Q3,Ireland,2488.51
Derived Saving (B.6g+D.8-P.31),2005Q4,Ireland,-422.29
Derived Saving (B.6g+D.8-P.31),2006Q1,Ireland,2566.26
Derived Saving (B.6g+D.8-P.31),2006Q2,Ireland,3812.61
Derived Saving (B.6g+D.8-P.31),2006Q3,Ireland,3011.58
Derived Saving (B.6g+D.8-P.31),2006Q4,Ireland,-1542.78
Derived Saving (B.6g+D.8-P.31),2007Q1,Ireland,1808.96
Derived Saving (B.6g+D.8-P.31),2007Q2,Ireland,3326.71
Derived Saving (B.6g+D.8-P.31),2007Q3,Ireland,3345.16
Derived Saving (B.6g+D.8-P.31),2007Q4,Ireland,-1072.4
Derived Saving (B.6g+D.8-P.31),2008Q1,Ireland,2386.76
Derived Saving (B.6g+D.8-P.31),2008Q2,Ireland,4893.36
Derived Saving (B.6g+D.8-P.31),2008Q3,Ireland,4426.85
Derived Saving (B.6g+D.8-P.31),2008Q4,Ireland,-16.21
Derived Saving (B.6g+D.8-P.31),2009Q1,Ireland,4042.39
Derived Saving (B.6g+D.8-P.31),2009Q2,Ireland,5107.61
Derived Saving (B.6g+D.8-P.31),2009Q3,Ireland,4944.14
Derived Saving (B.6g+D.8-P.31),2009Q4,Ireland,679.08
Derived Saving (B.6g+D.8-P.31),2010Q1,Ireland,3447.92
Derived Saving (B.6g+D.8-P.31),2010Q2,Ireland,4451.89
Derived Saving (B.6g+D.8-P.31),2010Q3,Ireland,3924.49
Derived Saving (B.6g+D.8-P.31),2010Q4,Ireland,526.48
Derived Saving (B.6g+D.8-P.31),2011Q1,Ireland,2343.79
Derived Saving (B.6g+D.8-P.31),2011Q2,Ireland,2997.04
Derived Saving (B.6g+D.8-P.31),2011Q3,Ireland,2801.59
Derived Saving (B.6g+D.8-P.31),2011Q4,Ireland,472.12
Derived Saving (B.6g+D.8-P.31),2012Q1,Ireland,3116.89
Derived Saving (B.6g+D.8-P.31),2012Q2,Ireland,3382.15
Derived Saving (B.6g+D.8-P.31),2012Q3,Ireland,3143.99
Derived Saving (B.6g+D.8-P.31),2012Q4,Ireland,813.18
Derived Saving (B.6g+D.8-P.31),2013Q1,Ireland,2225.4
Derived Saving (B.6g+D.8-P.31),2013Q2,Ireland,3190.59
Derived Saving (B.6g+D.8-P.31),2013Q3,Ireland,2562.6
Derived Saving (B.6g+D.8-P.31),2013Q4,Ireland,648.1
Derived Saving (B.6g+D.8-P.31),2014Q1,Ireland,2250.59
Derived Saving (B.6g+D.8-P.31),2014Q2,Ireland,2691.47
Derived Saving (B.6g+D.8-P.31),2014Q3,Ireland,2246.05
Derived Saving (B.6g+D.8-P.31),2014Q4,Ireland,-7.03
Derived Saving (B.6g+D.8-P.31),2015Q1,Ireland,1972.47
Derived Saving (B.6g+D.8-P.31),2015Q2,Ireland,3442.82
Derived Saving (B.6g+D.8-P.31),2015Q3,Ireland,2866.87
Derived Saving (B.6g+D.8-P.31),2015Q4,Ireland,-139.41
Derived Saving (B.6g+D.8-P.31),2016Q1,Ireland,1453.17
Derived Saving (B.6g+D.8-P.31),2016Q2,Ireland,2972.03
Derived Saving (B.6g+D.8-P.31),2016Q3,Ireland,3399.5
Derived Saving (B.6g+D.8-P.31),2016Q4,Ireland,-128.82
Derived Saving (B.6g+D.8-P.31),2017Q1,Ireland,2406.24
Derived Saving (B.6g+D.8-P.31),2017Q2,Ireland,3903.75
Derived Saving (B.6g+D.8-P.31),2017Q3,Ireland,3933.6
Derived Saving (B.6g+D.8-P.31),2017Q4,Ireland,626.6
Derived Saving (B.6g+D.8-P.31),2018Q1,Ireland,2131.05
Derived Saving (B.6g+D.8-P.31),2018Q2,Ireland,3768.85
Derived Saving (B.6g+D.8-P.31),2018Q3,Ireland,3601.74
Derived Saving (B.6g+D.8-P.31),2018Q4,Ireland,787.97
Derived Saving (B.6g+D.8-P.31),2019Q1,Ireland,2824.4
Derived Saving (B.6g+D.8-P.31),2019Q2,Ireland,4166.3
Derived Saving (B.6g+D.8-P.31),2019Q3,Ireland,3681.49
Derived Saving (B.6g+D.8-P.31),2019Q4,Ireland,1048.04
Derived Saving (B.6g+D.8-P.31),2020Q1,Ireland,6723.33
Derived Saving (B.6g+D.8-P.31),2020Q2,Ireland,11396.11
Derived Saving (B.6g+D.8-P.31),2020Q3,Ireland,6588.76
Derived Saving (B.6g+D.8-P.31),2020Q4,Ireland,4940.03
Derived Saving (B.6g+D.8-P.31),2021Q1,Ireland,9453.98
Derived Saving (B.6g+D.8-P.31),2021Q2,Ireland,7930.99
Derived Saving (B.6g+D.8-P.31),2021Q3,Ireland,6523.67
Derived Saving (B.6g+D.8-P.31),2021Q4,Ireland,2313.08
Derived Saving (B.6g+D.8-P.31),2022Q1,Ireland,5648.2
Derived Saving (B.6g+D.8-P.31),2022Q2,Ireland,6531.04
Derived Saving (B.6g+D.8-P.31),2022Q3,Ireland,4986.02
Derived Saving (B.6g+D.8-P.31),2022Q4,Ireland,409.39
Derived Saving (B.6g+D.8-P.31),2023Q1,Ireland,4732.84
Derived Saving (B.6g+D.8-P.31),2023Q2,Ireland,6278.05
Derived Saving (B.6g+D.8-P.31),2023Q3,Ireland,4152.92
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),1999Q1,Ireland,1382.63
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),1999Q2,Ireland,-56.88
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),1999Q3,Ireland,530.65
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),1999Q4,Ireland,1427.15
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2000Q1,Ireland,523.53
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2000Q2,Ireland,188.44
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2000Q3,Ireland,474.74
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2000Q4,Ireland,846.14
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2001Q1,Ireland,1213.03
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2001Q2,Ireland,1022.86
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2001Q3,Ireland,1372.95
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2001Q4,Ireland,1339.27
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2002Q1,Ireland,921.05
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2002Q2,Ireland,1385.55
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2002Q3,Ireland,937.83
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2002Q4,Ireland,1095.71
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2003Q1,Ireland,1266.35
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2003Q2,Ireland,1296.72
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2003Q3,Ireland,1431.53
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2003Q4,Ireland,1700.72
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2004Q1,Ireland,1506.71
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2004Q2,Ireland,1476.69
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2004Q3,Ireland,1826.86
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2004Q4,Ireland,2118.64
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2005Q1,Ireland,2419.09
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2005Q2,Ireland,2305
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2005Q3,Ireland,1574.5
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2005Q4,Ireland,2022.31
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2006Q1,Ireland,2440.45
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2006Q2,Ireland,2370.82
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2006Q3,Ireland,1975.75
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2006Q4,Ireland,1127.06
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2007Q1,Ireland,1695.71
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2007Q2,Ireland,1801.34
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2007Q3,Ireland,2168.42
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2007Q4,Ireland,1760.95
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2008Q1,Ireland,2298.95
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2008Q2,Ireland,3356.59
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2008Q3,Ireland,3220.37
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2008Q4,Ireland,2772.26
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2009Q1,Ireland,3949.43
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2009Q2,Ireland,3717.73
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2009Q3,Ireland,3854.94
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2009Q4,Ireland,3184.14
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2010Q1,Ireland,3298.36
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2010Q2,Ireland,3185.3
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2010Q3,Ireland,2998.07
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2010Q4,Ireland,2793.99
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2011Q1,Ireland,2153.86
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2011Q2,Ireland,1849.14
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2011Q3,Ireland,2043.91
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2011Q4,Ireland,2493.07
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2012Q1,Ireland,2921.02
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2012Q2,Ireland,2316.34
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2012Q3,Ireland,2509.38
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2012Q4,Ireland,2641.89
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2013Q1,Ireland,2094.37
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2013Q2,Ireland,2140.31
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2013Q3,Ireland,1962.46
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2013Q4,Ireland,2399.48
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2014Q1,Ireland,2178.25
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2014Q2,Ireland,1641.23
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2014Q3,Ireland,1553.64
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2014Q4,Ireland,1805.12
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2015Q1,Ireland,1983.48
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2015Q2,Ireland,2356.2
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2015Q3,Ireland,2027.11
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2015Q4,Ireland,1787.7
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2016Q1,Ireland,1502.3
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2016Q2,Ireland,1853.55
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2016Q3,Ireland,2436.4
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2016Q4,Ireland,1912.48
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2017Q1,Ireland,2497.44
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2017Q2,Ireland,2700.28
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2017Q3,Ireland,2977.55
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2017Q4,Ireland,2768.66
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2018Q1,Ireland,2161.72
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2018Q2,Ireland,2410.8
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2018Q3,Ireland,2792.78
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2018Q4,Ireland,3066.26
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2019Q1,Ireland,2656.43
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2019Q2,Ireland,2662.03
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2019Q3,Ireland,3068.14
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2019Q4,Ireland,3503.86
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2020Q1,Ireland,6384.72
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2020Q2,Ireland,9942.34
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2020Q3,Ireland,6092.73
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2020Q4,Ireland,7392.53
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2021Q1,Ireland,9105.52
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2021Q2,Ireland,6213.48
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2021Q3,Ireland,6070.95
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2021Q4,Ireland,5229.28
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2022Q1,Ireland,4998.65
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2022Q2,Ireland,4574.97
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2022Q3,Ireland,4515.27
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2022Q4,Ireland,3757.22
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2023Q1,Ireland,3920.19
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2023Q2,Ireland,4129.48
Derived Saving (B.6g+D.8-P.31)(Seasonally Adjusted),2023Q3,Ireland,3661.74
Saving Ratio,1999Q1,Ireland,12.8
Saving Ratio,1999Q2,Ireland,1.71
Saving Ratio,1999Q3,Ireland,11.36
Saving Ratio,1999Q4,Ireland,1.15
Saving Ratio,2000Q1,Ireland,5.06
Saving Ratio,2000Q2,Ireland,3.97
Saving Ratio,2000Q3,Ireland,10.17
Saving Ratio,2000Q4,Ireland,-4.45
Saving Ratio,2001Q1,Ireland,9.05
Saving Ratio,2001Q2,Ireland,9.86
Saving Ratio,2001Q3,Ireland,14.57
Saving Ratio,2001Q4,Ireland,-1.86
Saving Ratio,2002Q1,Ireland,6.52
Saving Ratio,2002Q2,Ireland,12.39
Saving Ratio,2002Q3,Ireland,11
Saving Ratio,2002Q4,Ireland,-4.49
Saving Ratio,2003Q1,Ireland,8
Saving Ratio,2003Q2,Ireland,12.22
Saving Ratio,2003Q3,Ireland,12.66
Saving Ratio,2003Q4,Ireland,-1.57
Saving Ratio,2004Q1,Ireland,8.85
Saving Ratio,2004Q2,Ireland,13.5
Saving Ratio,2004Q3,Ireland,13.73
Saving Ratio,2004Q4,Ireland,-0.38
Saving Ratio,2005Q1,Ireland,12.78
Saving Ratio,2005Q2,Ireland,16.68
Saving Ratio,2005Q3,Ireland,11.76
Saving Ratio,2005Q4,Ireland,-2.13
Saving Ratio,2006Q1,Ireland,11.73
Saving Ratio,2006Q2,Ireland,16.11
Saving Ratio,2006Q3,Ireland,13.17
Saving Ratio,2006Q4,Ireland,-7.53
Saving Ratio,2007Q1,Ireland,7.73
Saving Ratio,2007Q2,Ireland,13.28
Saving Ratio,2007Q3,Ireland,13.33
Saving Ratio,2007Q4,Ireland,-4.68
Saving Ratio,2008Q1,Ireland,9.4
Saving Ratio,2008Q2,Ireland,18.12
Saving Ratio,2008Q3,Ireland,16.86
Saving Ratio,2008Q4,Ireland,-0.07
Saving Ratio,2009Q1,Ireland,16.47
Saving Ratio,2009Q2,Ireland,20.64
Saving Ratio,2009Q3,Ireland,20.62
Saving Ratio,2009Q4,Ireland,3.14
Saving Ratio,2010Q1,Ireland,14.87
Saving Ratio,2010Q2,Ireland,18.7
Saving Ratio,2010Q3,Ireland,17.02
Saving Ratio,2010Q4,Ireland,2.43
Saving Ratio,2011Q1,Ireland,10.59
Saving Ratio,2011Q2,Ireland,13.29
Saving Ratio,2011Q3,Ireland,12.91
Saving Ratio,2011Q4,Ireland,2.22
Saving Ratio,2012Q1,Ireland,13.79
Saving Ratio,2012Q2,Ireland,14.85
Saving Ratio,2012Q3,Ireland,13.94
Saving Ratio,2012Q4,Ireland,3.71
Saving Ratio,2013Q1,Ireland,10.07
Saving Ratio,2013Q2,Ireland,14.02
Saving Ratio,2013Q3,Ireland,11.52
Saving Ratio,2013Q4,Ireland,2.92
Saving Ratio,2014Q1,Ireland,9.98
Saving Ratio,2014Q2,Ireland,11.69
Saving Ratio,2014Q3,Ireland,9.9
Saving Ratio,2014Q4,Ireland,-0.03
Saving Ratio,2015Q1,Ireland,8.53
Saving Ratio,2015Q2,Ireland,14.1
Saving Ratio,2015Q3,Ireland,11.84
Saving Ratio,2015Q4,Ireland,-0.6
Saving Ratio,2016Q1,Ireland,5.99
Saving Ratio,2016Q2,Ireland,11.88
Saving Ratio,2016Q3,Ireland,13.31
Saving Ratio,2016Q4,Ireland,-0.53
Saving Ratio,2017Q1,Ireland,9.29
Saving Ratio,2017Q2,Ireland,14.6
Saving Ratio,2017Q3,Ireland,14.44
Saving Ratio,2017Q4,Ireland,2.41
Saving Ratio,2018Q1,Ireland,7.97
Saving Ratio,2018Q2,Ireland,13.36
Saving Ratio,2018Q3,Ireland,12.67
Saving Ratio,2018Q4,Ireland,2.88
Saving Ratio,2019Q1,Ireland,9.87
Saving Ratio,2019Q2,Ireland,13.97
Saving Ratio,2019Q3,Ireland,12.5
Saving Ratio,2019Q4,Ireland,3.66
Saving Ratio,2020Q1,Ireland,21.33
Saving Ratio,2020Q2,Ireland,35.8
Saving Ratio,2020Q3,Ireland,21.53
Saving Ratio,2020Q4,Ireland,16.55
Saving Ratio,2021Q1,Ireland,29.67
Saving Ratio,2021Q2,Ireland,23.47
Saving Ratio,2021Q3,Ireland,19.05
Saving Ratio,2021Q4,Ireland,7.13
Saving Ratio,2022Q1,Ireland,16.65
Saving Ratio,2022Q2,Ireland,17.94
Saving Ratio,2022Q3,Ireland,13.78
Saving Ratio,2022Q4,Ireland,1.16
Saving Ratio,2023Q1,Ireland,12.84
Saving Ratio,2023Q2,Ireland,16.01
Saving Ratio,2023Q3,Ireland,10.77
Saving Ratio (Seasonally Adjusted),1999Q1,Ireland,11.56
Saving Ratio (Seasonally Adjusted),1999Q2,Ireland,-0.54
Saving Ratio (Seasonally Adjusted),1999Q3,Ireland,4.41
Saving Ratio (Seasonally Adjusted),1999Q4,Ireland,11.2
Saving Ratio (Seasonally Adjusted),2000Q1,Ireland,4.13
Saving Ratio (Seasonally Adjusted),2000Q2,Ireland,1.47
Saving Ratio (Seasonally Adjusted),2000Q3,Ireland,3.54
Saving Ratio (Seasonally Adjusted),2000Q4,Ireland,6.03
Saving Ratio (Seasonally Adjusted),2001Q1,Ireland,8.29
Saving Ratio (Seasonally Adjusted),2001Q2,Ireland,6.89
Saving Ratio (Seasonally Adjusted),2001Q3,Ireland,8.91
Saving Ratio (Seasonally Adjusted),2001Q4,Ireland,8.55
Saving Ratio (Seasonally Adjusted),2002Q1,Ireland,5.91
Saving Ratio (Seasonally Adjusted),2002Q2,Ireland,8.5
Saving Ratio (Seasonally Adjusted),2002Q3,Ireland,5.73
Saving Ratio (Seasonally Adjusted),2002Q4,Ireland,6.57
Saving Ratio (Seasonally Adjusted),2003Q1,Ireland,7.37
Saving Ratio (Seasonally Adjusted),2003Q2,Ireland,7.44
Saving Ratio (Seasonally Adjusted),2003Q3,Ireland,8.12
Saving Ratio (Seasonally Adjusted),2003Q4,Ireland,9.36
Saving Ratio (Seasonally Adjusted),2004Q1,Ireland,8.23
Saving Ratio (Seasonally Adjusted),2004Q2,Ireland,8.01
Saving Ratio (Seasonally Adjusted),2004Q3,Ireland,9.6
Saving Ratio (Seasonally Adjusted),2004Q4,Ireland,10.84
Saving Ratio (Seasonally Adjusted),2005Q1,Ireland,12.05
Saving Ratio (Seasonally Adjusted),2005Q2,Ireland,11.21
Saving Ratio (Seasonally Adjusted),2005Q3,Ireland,7.59
Saving Ratio (Seasonally Adjusted),2005Q4,Ireland,9.52
Saving Ratio (Seasonally Adjusted),2006Q1,Ireland,11.13
Saving Ratio (Seasonally Adjusted),2006Q2,Ireland,10.51
Saving Ratio (Seasonally Adjusted),2006Q3,Ireland,8.81
Saving Ratio (Seasonally Adjusted),2006Q4,Ireland,5.12
Saving Ratio (Seasonally Adjusted),2007Q1,Ireland,7.24
Saving Ratio (Seasonally Adjusted),2007Q2,Ireland,7.52
Saving Ratio (Seasonally Adjusted),2007Q3,Ireland,8.81
Saving Ratio (Seasonally Adjusted),2007Q4,Ireland,7.19
Saving Ratio (Seasonally Adjusted),2008Q1,Ireland,9.07
Saving Ratio (Seasonally Adjusted),2008Q2,Ireland,12.93
Saving Ratio (Seasonally Adjusted),2008Q3,Ireland,12.48
Saving Ratio (Seasonally Adjusted),2008Q4,Ireland,11.03
Saving Ratio (Seasonally Adjusted),2009Q1,Ireland,16.14
Saving Ratio (Seasonally Adjusted),2009Q2,Ireland,15.62
Saving Ratio (Seasonally Adjusted),2009Q3,Ireland,16.32
Saving Ratio (Seasonally Adjusted),2009Q4,Ireland,13.86
Saving Ratio (Seasonally Adjusted),2010Q1,Ireland,14.3
Saving Ratio (Seasonally Adjusted),2010Q2,Ireland,13.87
Saving Ratio (Seasonally Adjusted),2010Q3,Ireland,13.11
Saving Ratio (Seasonally Adjusted),2010Q4,Ireland,12.29
Saving Ratio (Seasonally Adjusted),2011Q1,Ireland,9.78
Saving Ratio (Seasonally Adjusted),2011Q2,Ireland,8.48
Saving Ratio (Seasonally Adjusted),2011Q3,Ireland,9.44
Saving Ratio (Seasonally Adjusted),2011Q4,Ireland,11.29
Saving Ratio (Seasonally Adjusted),2012Q1,Ireland,12.96
Saving Ratio (Seasonally Adjusted),2012Q2,Ireland,10.47
Saving Ratio (Seasonally Adjusted),2012Q3,Ireland,11.11
Saving Ratio (Seasonally Adjusted),2012Q4,Ireland,11.74
Saving Ratio (Seasonally Adjusted),2013Q1,Ireland,9.47
Saving Ratio (Seasonally Adjusted),2013Q2,Ireland,9.66
Saving Ratio (Seasonally Adjusted),2013Q3,Ireland,8.82
Saving Ratio (Seasonally Adjusted),2013Q4,Ireland,10.56
Saving Ratio (Seasonally Adjusted),2014Q1,Ireland,9.63
Saving Ratio (Seasonally Adjusted),2014Q2,Ireland,7.31
Saving Ratio (Seasonally Adjusted),2014Q3,Ireland,6.89
Saving Ratio (Seasonally Adjusted),2014Q4,Ireland,7.81
Saving Ratio (Seasonally Adjusted),2015Q1,Ireland,8.54
Saving Ratio (Seasonally Adjusted),2015Q2,Ireland,9.87
Saving Ratio (Seasonally Adjusted),2015Q3,Ireland,8.47
Saving Ratio (Seasonally Adjusted),2015Q4,Ireland,7.49
Saving Ratio (Seasonally Adjusted),2016Q1,Ireland,6.17
Saving Ratio (Seasonally Adjusted),2016Q2,Ireland,7.57
Saving Ratio (Seasonally Adjusted),2016Q3,Ireland,9.7
Saving Ratio (Seasonally Adjusted),2016Q4,Ireland,7.63
Saving Ratio (Seasonally Adjusted),2017Q1,Ireland,9.6
Saving Ratio (Seasonally Adjusted),2017Q2,Ireland,10.32
Saving Ratio (Seasonally Adjusted),2017Q3,Ireland,11.12
Saving Ratio (Seasonally Adjusted),2017Q4,Ireland,10.27
Saving Ratio (Seasonally Adjusted),2018Q1,Ireland,8.04
Saving Ratio (Seasonally Adjusted),2018Q2,Ireland,8.77
Saving Ratio (Seasonally Adjusted),2018Q3,Ireland,9.97
Saving Ratio (Seasonally Adjusted),2018Q4,Ireland,10.79
Saving Ratio (Seasonally Adjusted),2019Q1,Ireland,9.22
Saving Ratio (Seasonally Adjusted),2019Q2,Ireland,9.2
Saving Ratio (Seasonally Adjusted),2019Q3,Ireland,10.54
Saving Ratio (Seasonally Adjusted),2019Q4,Ireland,11.79
Saving Ratio (Seasonally Adjusted),2020Q1,Ireland,20.11
Saving Ratio (Seasonally Adjusted),2020Q2,Ireland,32.31
Saving Ratio (Seasonally Adjusted),2020Q3,Ireland,20.11
Saving Ratio (Seasonally Adjusted),2020Q4,Ireland,23.81
Saving Ratio (Seasonally Adjusted),2021Q1,Ireland,28.37
Saving Ratio (Seasonally Adjusted),2021Q2,Ireland,19.05
Saving Ratio (Seasonally Adjusted),2021Q3,Ireland,17.9
Saving Ratio (Seasonally Adjusted),2021Q4,Ireland,15.5
Saving Ratio (Seasonally Adjusted),2022Q1,Ireland,14.6
Saving Ratio (Seasonally Adjusted),2022Q2,Ireland,13.03
Saving Ratio (Seasonally Adjusted),2022Q3,Ireland,12.6
Saving Ratio (Seasonally Adjusted),2022Q4,Ireland,10.29
Saving Ratio (Seasonally Adjusted),2023Q1,Ireland,10.53
Saving Ratio (Seasonally Adjusted),2023Q2,Ireland,10.91
Saving Ratio (Seasonally Adjusted),2023Q3,Ireland,9.58
